city,year,weekofyear,total_cases
sj,2013,8,8
sj,2013,9,10
sj,2013,10,9
sj,2013,11,8
sj,2013,12,5
sj,2013,13,5
sj,2013,14,7
sj,2013,15,7
sj,2013,16,8
sj,2013,17,7
iq,2010,26,6
iq,2010,27,7
iq,2010,28,8
iq,2010,29,8
iq,2010,30,8
iq,2010,31,11
iq,2010,32,12
iq,2010,33,11
iq,2010,34,12
iq,2010,35,13
iq,2010,36,13
iq,2010,37,14
iq,2010,38,14
iq,2010,39,16
iq,2010,40,16
iq,2010,41,18
iq,2010,42,18
iq,2010,43,17
iq,2010,44,17
iq,2010,45,17
iq,2010,46,18
iq,2010,47,18
iq,2010,48,17
iq,2010,49,16
iq,2010,50,17
iq,2010,51,16
iq,2011,52,17
iq,2011,1,16
iq,2011,2,16
iq,2011,3,16
iq,2011,4,16
iq,2011,5,16
iq,2011,6,16
iq,2011,7,16
iq,2011,8,16
iq,2011,9,16
iq,2011,10,16
iq,2011,11,16
iq,2011,12,16
iq,2011,13,16
iq,2011,14,16
iq,2011,15,16
iq,2011,16,16
iq,2011,17,15
iq,2011,18,15
iq,2011,19,18
iq,2011,20,15
iq,2011,21,15
iq,2011,22,15
iq,2011,23,17
iq,2011,24,14
iq,2011,25,19
iq,2011,26,17
iq,2011,27,18
iq,2011,28,15
iq,2011,29,12
iq,2011,30,12
iq,2011,31,9
iq,2011,32,7
iq,2011,33,6
iq,2011,34,5
iq,2011,35,4
iq,2011,36,4
iq,2011,37,4
iq,2011,38,6
iq,2011,39,6
iq,2011,40,8
iq,2011,41,10
iq,2011,42,11
iq,2011,43,15
iq,2011,44,15
iq,2011,45,15
iq,2011,46,14
iq,2011,47,16
iq,2011,48,18
iq,2011,49,19
iq,2011,50,19
iq,2011,51,18
iq,2012,52,17
iq,2012,1,16
iq,2012,2,17
iq,2012,3,17
iq,2012,4,17
iq,2012,5,19
iq,2012,6,22
iq,2012,7,26
iq,2012,8,24
iq,2012,9,26
iq,2012,10,19
iq,2012,11,24
iq,2012,12,20
iq,2012,13,18
iq,2012,14,18
iq,2012,15,15
iq,2012,16,13
iq,2012,17,11
iq,2012,18,8
iq,2012,19,7
iq,2012,20,5
iq,2012,21,4
iq,2012,22,4
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,3
iq,2012,27,3
iq,2012,28,2
iq,2012,29,2
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,5
iq,2012,34,6
iq,2012,35,6
iq,2012,36,7
iq,2012,37,9
iq,2012,38,17
iq,2012,39,17
iq,2012,40,19
iq,2012,41,22
iq,2012,42,32
iq,2012,43,34
iq,2012,44,40
iq,2012,45,43
iq,2012,46,45
iq,2012,47,42
iq,2012,48,36
iq,2012,49,36
iq,2012,50,32
iq,2012,51,31
iq,2013,1,31
iq,2013,2,33
iq,2013,3,32
iq,2013,4,28
iq,2013,5,29
iq,2013,6,22
iq,2013,7,20
iq,2013,8,20
iq,2013,9,20
iq,2013,10,19
iq,2013,11,18
iq,2013,12,17
iq,2013,13,17
iq,2013,14,17
iq,2013,15,15
iq,2013,16,14
iq,2013,17,14
iq,2013,18,15
iq,2013,19,15
iq,2013,20,13
iq,2013,21,13
iq,2013,22,13
iq,2013,23,11
iq,2013,24,10
iq,2013,25,10
iq,2013,26,10
