,year,yearcount,weekofyear,station_max_temp_c,station_min_temp_c,cum_rain_prior_24_wks,avg_max_temp_prior_22_wks,year_shift_0,yearcount_shift_0,weekofyear_shift_0,station_max_temp_c_shift_0,station_min_temp_c_shift_0,cum_rain_prior_24_wks_shift_0,avg_max_temp_prior_22_wks_shift_0,year_shift_1,yearcount_shift_1,weekofyear_shift_1,station_max_temp_c_shift_1,station_min_temp_c_shift_1,cum_rain_prior_24_wks_shift_1,avg_max_temp_prior_22_wks_shift_1,year_shift_2,yearcount_shift_2,weekofyear_shift_2,station_max_temp_c_shift_2,station_min_temp_c_shift_2,cum_rain_prior_24_wks_shift_2,avg_max_temp_prior_22_wks_shift_2,year_shift_3,yearcount_shift_3,weekofyear_shift_3,station_max_temp_c_shift_3,station_min_temp_c_shift_3,cum_rain_prior_24_wks_shift_3,avg_max_temp_prior_22_wks_shift_3,year_shift_4,yearcount_shift_4,weekofyear_shift_4,station_max_temp_c_shift_4,station_min_temp_c_shift_4,cum_rain_prior_24_wks_shift_4,avg_max_temp_prior_22_wks_shift_4
40,1991,1,36,34.4,24.4,728.22,32.59999999999998,1991,1,36,34.4,24.4,728.22,32.59999999999998,1991.0,1.0,35.0,32.2,23.9,662.32,32.34999999999998,1991.0,1.0,34.0,34.4,24.4,607.12,32.34999999999998,1991.0,1.0,33.0,33.3,25.6,555.24,32.249999999999986,1991.0,1.0,32.0,32.8,24.4,587.03,32.177272727272715
41,1991,1,37,33.9,23.3,761.78,32.827272727272714,1991,1,37,33.9,23.3,761.78,32.827272727272714,1991.0,1.0,36.0,34.4,24.4,728.22,32.59999999999998,1991.0,1.0,35.0,32.2,23.9,662.32,32.34999999999998,1991.0,1.0,34.0,34.4,24.4,607.12,32.34999999999998,1991.0,1.0,33.0,33.3,25.6,555.24,32.249999999999986
42,1991,1,38,33.3,24.4,778.39,33.00454545454544,1991,1,38,33.3,24.4,778.39,33.00454545454544,1991.0,1.0,37.0,33.9,23.3,761.78,32.827272727272714,1991.0,1.0,36.0,34.4,24.4,728.22,32.59999999999998,1991.0,1.0,35.0,32.2,23.9,662.32,32.34999999999998,1991.0,1.0,34.0,34.4,24.4,607.12,32.34999999999998
43,1991,1,39,32.8,24.4,845.9399999999998,33.00454545454544,1991,1,39,32.8,24.4,845.9399999999998,33.00454545454544,1991.0,1.0,38.0,33.3,24.4,778.39,33.00454545454544,1991.0,1.0,37.0,33.9,23.3,761.78,32.827272727272714,1991.0,1.0,36.0,34.4,24.4,728.22,32.59999999999998,1991.0,1.0,35.0,32.2,23.9,662.32,32.34999999999998
44,1991,1,40,32.8,23.3,833.0499999999997,33.03181818181816,1991,1,40,32.8,23.3,833.0499999999997,33.03181818181816,1991.0,1.0,39.0,32.8,24.4,845.9399999999998,33.00454545454544,1991.0,1.0,38.0,33.3,24.4,778.39,33.00454545454544,1991.0,1.0,37.0,33.9,23.3,761.78,32.827272727272714,1991.0,1.0,36.0,34.4,24.4,728.22,32.59999999999998
45,1991,1,41,31.7,22.8,832.4299999999997,33.03181818181816,1991,1,41,31.7,22.8,832.4299999999997,33.03181818181816,1991.0,1.0,40.0,32.8,23.3,833.0499999999997,33.03181818181816,1991.0,1.0,39.0,32.8,24.4,845.9399999999998,33.00454545454544,1991.0,1.0,38.0,33.3,24.4,778.39,33.00454545454544,1991.0,1.0,37.0,33.9,23.3,761.78,32.827272727272714
46,1991,1,42,33.9,24.4,835.7199999999997,33.18181818181816,1991,1,42,33.9,24.4,835.7199999999997,33.18181818181816,1991.0,1.0,41.0,31.7,22.8,832.4299999999997,33.03181818181816,1991.0,1.0,40.0,32.8,23.3,833.0499999999997,33.03181818181816,1991.0,1.0,39.0,32.8,24.4,845.9399999999998,33.00454545454544,1991.0,1.0,38.0,33.3,24.4,778.39,33.00454545454544
47,1991,1,43,32.8,23.3,850.5799999999997,33.23181818181815,1991,1,43,32.8,23.3,850.5799999999997,33.23181818181815,1991.0,1.0,42.0,33.9,24.4,835.7199999999997,33.18181818181816,1991.0,1.0,41.0,31.7,22.8,832.4299999999997,33.03181818181816,1991.0,1.0,40.0,32.8,23.3,833.0499999999997,33.03181818181816,1991.0,1.0,39.0,32.8,24.4,845.9399999999998,33.00454545454544
48,1991,1,44,32.8,24.4,919.03,33.209090909090875,1991,1,44,32.8,24.4,919.03,33.209090909090875,1991.0,1.0,43.0,32.8,23.3,850.5799999999997,33.23181818181815,1991.0,1.0,42.0,33.9,24.4,835.7199999999997,33.18181818181816,1991.0,1.0,41.0,31.7,22.8,832.4299999999997,33.03181818181816,1991.0,1.0,40.0,32.8,23.3,833.0499999999997,33.03181818181816
49,1991,1,45,32.2,22.8,910.7899999999997,33.159090909090885,1991,1,45,32.2,22.8,910.7899999999997,33.159090909090885,1991.0,1.0,44.0,32.8,24.4,919.03,33.209090909090875,1991.0,1.0,43.0,32.8,23.3,850.5799999999997,33.23181818181815,1991.0,1.0,42.0,33.9,24.4,835.7199999999997,33.18181818181816,1991.0,1.0,41.0,31.7,22.8,832.4299999999997,33.03181818181816
50,1991,1,46,31.1,22.2,934.15,33.03181818181816,1991,1,46,31.1,22.2,934.15,33.03181818181816,1991.0,1.0,45.0,32.2,22.8,910.7899999999997,33.159090909090885,1991.0,1.0,44.0,32.8,24.4,919.03,33.209090909090875,1991.0,1.0,43.0,32.8,23.3,850.5799999999997,33.23181818181815,1991.0,1.0,42.0,33.9,24.4,835.7199999999997,33.18181818181816
51,1991,1,47,30.0,22.2,926.0699999999997,32.85454545454543,1991,1,47,30.0,22.2,926.0699999999997,32.85454545454543,1991.0,1.0,46.0,31.1,22.2,934.15,33.03181818181816,1991.0,1.0,45.0,32.2,22.8,910.7899999999997,33.159090909090885,1991.0,1.0,44.0,32.8,24.4,919.03,33.209090909090875,1991.0,1.0,43.0,32.8,23.3,850.5799999999997,33.23181818181815
52,1991,1,48,30.0,22.2,955.3199999999997,32.7272727272727,1991,1,48,30.0,22.2,955.3199999999997,32.7272727272727,1991.0,1.0,47.0,30.0,22.2,926.0699999999997,32.85454545454543,1991.0,1.0,46.0,31.1,22.2,934.15,33.03181818181816,1991.0,1.0,45.0,32.2,22.8,910.7899999999997,33.159090909090885,1991.0,1.0,44.0,32.8,24.4,919.03,33.209090909090875
53,1991,1,49,30.6,23.3,911.0699999999997,32.62727272727271,1991,1,49,30.6,23.3,911.0699999999997,32.62727272727271,1991.0,1.0,48.0,30.0,22.2,955.3199999999997,32.7272727272727,1991.0,1.0,47.0,30.0,22.2,926.0699999999997,32.85454545454543,1991.0,1.0,46.0,31.1,22.2,934.15,33.03181818181816,1991.0,1.0,45.0,32.2,22.8,910.7899999999997,33.159090909090885
54,1991,1,50,29.4,21.7,837.3099999999997,32.47272727272725,1991,1,50,29.4,21.7,837.3099999999997,32.47272727272725,1991.0,1.0,49.0,30.6,23.3,911.0699999999997,32.62727272727271,1991.0,1.0,48.0,30.0,22.2,955.3199999999997,32.7272727272727,1991.0,1.0,47.0,30.0,22.2,926.0699999999997,32.85454545454543,1991.0,1.0,46.0,31.1,22.2,934.15,33.03181818181816
55,1991,1,51,28.9,20.6,810.6099999999997,32.24545454545453,1991,1,51,28.9,20.6,810.6099999999997,32.24545454545453,1991.0,1.0,50.0,29.4,21.7,837.3099999999997,32.47272727272725,1991.0,1.0,49.0,30.6,23.3,911.0699999999997,32.62727272727271,1991.0,1.0,48.0,30.0,22.2,955.3199999999997,32.7272727272727,1991.0,1.0,47.0,30.0,22.2,926.0699999999997,32.85454545454543
56,1991,1,52,28.3,19.4,804.4799999999997,32.040909090909075,1991,1,52,28.3,19.4,804.4799999999997,32.040909090909075,1991.0,1.0,51.0,28.9,20.6,810.6099999999997,32.24545454545453,1991.0,1.0,50.0,29.4,21.7,837.3099999999997,32.47272727272725,1991.0,1.0,49.0,30.6,23.3,911.0699999999997,32.62727272727271,1991.0,1.0,48.0,30.0,22.2,955.3199999999997,32.7272727272727
57,1992,1,1,29.450000000000006,20.0,875.2349999999997,31.86590909090908,1992,1,1,29.450000000000006,20.0,875.2349999999997,31.86590909090908,1991.0,1.0,52.0,28.3,19.4,804.4799999999997,32.040909090909075,1991.0,1.0,51.0,28.9,20.6,810.6099999999997,32.24545454545453,1991.0,1.0,50.0,29.4,21.7,837.3099999999997,32.47272727272725,1991.0,1.0,49.0,30.6,23.3,911.0699999999997,32.62727272727271
58,1992,1,2,30.6,20.6,1019.5049999999997,31.76590909090908,1992,1,2,30.6,20.6,1019.5049999999997,31.76590909090908,1992.0,1.0,1.0,29.450000000000006,20.0,875.2349999999997,31.86590909090908,1991.0,1.0,52.0,28.3,19.4,804.4799999999997,32.040909090909075,1991.0,1.0,51.0,28.9,20.6,810.6099999999997,32.24545454545453,1991.0,1.0,50.0,29.4,21.7,837.3099999999997,32.47272727272725
59,1992,1,3,31.1,21.7,974.2149999999997,31.66590909090909,1992,1,3,31.1,21.7,974.2149999999997,31.66590909090909,1992.0,1.0,2.0,30.6,20.6,1019.5049999999997,31.76590909090908,1992.0,1.0,1.0,29.450000000000006,20.0,875.2349999999997,31.86590909090908,1991.0,1.0,52.0,28.3,19.4,804.4799999999997,32.040909090909075,1991.0,1.0,51.0,28.9,20.6,810.6099999999997,32.24545454545453
60,1992,1,4,30.6,20.0,960.9249999999997,31.49318181818181,1992,1,4,30.6,20.0,960.9249999999997,31.49318181818181,1992.0,1.0,3.0,31.1,21.7,974.2149999999997,31.66590909090909,1992.0,1.0,2.0,30.6,20.6,1019.5049999999997,31.76590909090908,1992.0,1.0,1.0,29.450000000000006,20.0,875.2349999999997,31.86590909090908,1991.0,1.0,52.0,28.3,19.4,804.4799999999997,32.040909090909075
61,1992,1,5,28.9,20.0,960.9249999999997,31.34318181818181,1992,1,5,28.9,20.0,960.9249999999997,31.34318181818181,1992.0,1.0,4.0,30.6,20.0,960.9249999999997,31.49318181818181,1992.0,1.0,3.0,31.1,21.7,974.2149999999997,31.66590909090909,1992.0,1.0,2.0,30.6,20.6,1019.5049999999997,31.76590909090908,1992.0,1.0,1.0,29.450000000000006,20.0,875.2349999999997,31.86590909090908
62,1992,1,6,30.6,20.0,909.0449999999997,31.17045454545454,1992,1,6,30.6,20.0,909.0449999999997,31.17045454545454,1992.0,1.0,5.0,28.9,20.0,960.9249999999997,31.34318181818181,1992.0,1.0,4.0,30.6,20.0,960.9249999999997,31.49318181818181,1992.0,1.0,3.0,31.1,21.7,974.2149999999997,31.66590909090909,1992.0,1.0,2.0,30.6,20.6,1019.5049999999997,31.76590909090908
63,1992,1,7,32.2,20.0,853.8449999999997,31.09318181818181,1992,1,7,32.2,20.0,853.8449999999997,31.09318181818181,1992.0,1.0,6.0,30.6,20.0,909.0449999999997,31.17045454545454,1992.0,1.0,5.0,28.9,20.0,960.9249999999997,31.34318181818181,1992.0,1.0,4.0,30.6,20.0,960.9249999999997,31.49318181818181,1992.0,1.0,3.0,31.1,21.7,974.2149999999997,31.66590909090909
